model,input_representation,validation_rank,validation_mean_rmse,validation_std_rmse,validation_mean_mae,validation_mean_r2,validation_mean_macro_engine_rmse,official_test_rank,official_test_rmse,official_test_mae,official_test_median_absolute_error,official_test_r2,official_test_mean_error,validation_evaluation_unit,test_evaluation_unit,comparability_note
XGBoost,Feature Set C: current sensor values plus derived degradation features (57 inputs),3,14.4297,2.0723,10.4897,0.8791,13.7249,1,12.245914789476114,9.01545778989792,6.149161338806152,0.9066159387177896,0.4966254162788391,All eligible windows across three engine-grouped splits,One endpoint for each of 100 official test engines,Validation and test rankings may be compared descriptively; absolute RMSE values are not a like-for-like gap measure.
DerivedOnlyMLP,Derived degradation view (43 inputs),1,14.2308,0.9167,10.2354,0.8837,13.6963,2,12.829468988592838,9.558828616142272,7.103099822998047,0.8975038261069077,-0.5532214307785034,All eligible windows across three engine-grouped splits,One endpoint for each of 100 official test engines,Validation and test rankings may be compared descriptively; absolute RMSE values are not a like-for-like gap measure.
GRU,Raw sensor sequence view (30 × 14),4,14.4671,0.4212,11.2108,0.88,14.2817,3,13.2860389257001,9.91668583869934,7.455413818359375,0.8900788325716672,0.7606980228424072,All eligible windows across three engine-grouped splits,One endpoint for each of 100 official test engines,Validation and test rankings may be compared descriptively; absolute RMSE values are not a like-for-like gap measure.
MultiViewGRUFusion,Raw sensor sequence (30 × 14) fused with 43 derived features,2,14.2787,1.6112,10.7053,0.8822,13.6978,4,13.378218600274078,9.937203183174134,6.879127502441406,0.8885482563681504,-3.1971008157730103,All eligible windows across three engine-grouped splits,One endpoint for each of 100 official test engines,Validation and test rankings may be compared descriptively; absolute RMSE values are not a like-for-like gap measure.
