split_seed,model,rmse_with_ci,rmse_without_ci,rmse_delta,rmse_delta_pct,mae_with_ci,mae_without_ci,mae_delta,r2_with_ci,r2_without_ci,r2_delta,control_source,interpretation
42,DerivedOnlyMLP,13.4408,15.6341,2.1933,16.32,9.6558,11.7866,2.1308,0.8968,0.8603,-0.0364,final-protocol seed 42,Positive RMSE delta means performance worsened after removing cycle_index; this measures lifecycle-position dependence and does not by itself establish target leakage.
42,MultiViewGRUFusion,12.5632,14.4477,1.8845,15.0,9.1574,10.7726,1.6152,0.9098,0.8807,-0.0291,final-protocol seed 42,Positive RMSE delta means performance worsened after removing cycle_index; this measures lifecycle-position dependence and does not by itself establish target leakage.
42,XGBoost,12.5341,13.9673,1.4332,11.43,9.3171,10.4292,1.1121,0.9102,0.8885,-0.0217,final-protocol seed 42,Positive RMSE delta means performance worsened after removing cycle_index; this measures lifecycle-position dependence and does not by itself establish target leakage.
