model_group,model,input_representation,rmse,mae,r2,evidence_role,qualification
Multi-view Deep Learning,MultiViewGRUFusion,sensor_sequence_view + derived_degradation_view,12.0657,8.9406,0.9168,Historical seed-42 window-aligned reference,Single engine-level split; retained for traceability and not treated as repeated-validation evidence
Classical,XGBoost,C,12.4894,9.2675,0.9109,Historical seed-42 window-aligned reference,Single engine-level split; retained for traceability and not treated as repeated-validation evidence
Multi-view Deep Learning,DerivedOnlyMLP,derived_degradation_view,13.1451,9.4204,0.9013,Historical seed-42 window-aligned reference,Single engine-level split; retained for traceability and not treated as repeated-validation evidence
Deep Learning,GRU,B (window=30),13.1605,9.7182,0.901,Historical seed-42 window-aligned reference,Single engine-level split; retained for traceability and not treated as repeated-validation evidence
Deep Learning,CNN1D,B (window=30),18.1509,14.0382,0.8118,Historical seed-42 window-aligned reference,Single engine-level split; retained for traceability and not treated as repeated-validation evidence
