model,mean_window_weighted_rmse,mean_split_macro_engine_rmse,engine_appearances,mean_engine_rmse,median_engine_rmse,std_engine_rmse,p90_engine_rmse,mean_engine_mae,mean_engine_bias,mean_windows_per_engine,macro_minus_window_weighted_rmse
DerivedOnlyMLP,14.2308,13.6963,60,13.696268160554782,11.880644480677976,5.9013678327880115,21.834462281345047,10.668556505454433,1.6419854339052367,180.7,-0.5344999999999995
MultiViewGRUFusion,14.2787,13.6978,60,13.697793442969303,11.932562048249537,4.84434915001263,21.04212261758265,10.762820900538582,-1.5247934142081894,180.7,-0.5808999999999997
XGBoost,14.4297,13.7249,60,13.724926583192687,11.540822227726231,6.3508228864505325,23.66022448029125,10.843198717201403,0.48723859913579787,180.7,-0.7048000000000005
GRU,14.4671,14.2817,60,14.281669789931552,13.936392855444787,3.6232778475245375,17.97406886581226,11.29311955579549,0.1736067677848042,180.7,-0.18539999999999957
