feature_set,model,feature,importance
C,RandomForest,sensor_measurement_21,0.0006307012488164581
C,RandomForest,sensor_measurement_20,0.0005912297579178671
C,RandomForest,sensor_measurement_2,0.0006075302360503787
C,RandomForest,sensor_measurement_17,0.00015141684147657034
C,RandomForest,sensor_measurement_3,0.0006004689985486105
C,RandomForest,sensor_measurement_8,0.00041913646297480446
C,RandomForest,sensor_measurement_13,0.0004025197376630805
C,RandomForest,sensor_measurement_9,0.0018239797580489503
C,RandomForest,sensor_measurement_14,0.002913880939205841
C,RandomForest,sensor_measurement_11_rmean,0.04994625989237466
C,RandomForest,sensor_measurement_11_rstd,0.001229132201806362
C,RandomForest,sensor_measurement_11_delta,0.03209960228329666
C,RandomForest,sensor_measurement_4_rmean,0.5992486611945533
C,RandomForest,sensor_measurement_4_rstd,0.0011625441047920936
C,RandomForest,sensor_measurement_4_delta,0.005059284272621408
C,RandomForest,sensor_measurement_12_rmean,0.006117257367645529
C,RandomForest,sensor_measurement_12_rstd,0.0011309124880686833
C,RandomForest,sensor_measurement_12_delta,0.0030437219182063457
C,RandomForest,sensor_measurement_7_rmean,0.006396670075296885
C,RandomForest,sensor_measurement_7_rstd,0.001392014183117669
C,RandomForest,sensor_measurement_7_delta,0.005276453377537886
C,RandomForest,sensor_measurement_15_rmean,0.014268536727650726
C,RandomForest,sensor_measurement_15_rstd,0.0010858018361301015
C,RandomForest,sensor_measurement_15_delta,0.008045620078049634
C,RandomForest,sensor_measurement_21_rmean,0.002726592629796914
C,RandomForest,sensor_measurement_21_rstd,0.0011286286493486413
C,RandomForest,sensor_measurement_21_delta,0.0027574047799853877
C,RandomForest,sensor_measurement_20_rmean,0.002178166900131373
C,RandomForest,sensor_measurement_20_rstd,0.0013600203098573936
C,RandomForest,sensor_measurement_20_delta,0.006900097072104465
C,RandomForest,sensor_measurement_2_rmean,0.007449264500632749
C,RandomForest,sensor_measurement_2_rstd,0.001054457678012969
C,RandomForest,sensor_measurement_2_delta,0.0022948194105471102
C,RandomForest,sensor_measurement_17_rmean,0.0010708795334416054
C,RandomForest,sensor_measurement_17_rstd,0.0006236648322775712
C,RandomForest,sensor_measurement_17_delta,0.0009126355656381086
C,RandomForest,sensor_measurement_3_rmean,0.0026320050228953095
C,RandomForest,sensor_measurement_3_rstd,0.0011123626723940979
C,RandomForest,sensor_measurement_3_delta,0.0016895164383395546
C,RandomForest,sensor_measurement_8_rmean,0.0018013580151171756
C,RandomForest,sensor_measurement_8_rstd,0.001088616748813122
C,RandomForest,sensor_measurement_8_delta,0.009128360540726686
C,RandomForest,sensor_measurement_13_rmean,0.002966891606028392
C,RandomForest,sensor_measurement_13_rstd,0.0010175453172842953
C,RandomForest,sensor_measurement_13_delta,0.005368061092988717
C,RandomForest,sensor_measurement_9_rmean,0.00854184027861455
C,RandomForest,sensor_measurement_9_rstd,0.0015229221031968355
C,RandomForest,sensor_measurement_9_delta,0.037137290679908765
C,RandomForest,sensor_measurement_14_rmean,0.010996392327275511
C,RandomForest,sensor_measurement_14_rstd,0.0012196652070177282
C,RandomForest,sensor_measurement_14_delta,0.012374745134320181
C,RandomForest,cycle_index,0.12345248474949352
C,GradientBoosting,sensor_measurement_11,0.00017048422961812537
C,GradientBoosting,sensor_measurement_4,0.00018760662932239136
C,GradientBoosting,sensor_measurement_12,0.0
C,GradientBoosting,sensor_measurement_7,0.0
C,GradientBoosting,sensor_measurement_15,0.00013517881756461243
C,GradientBoosting,sensor_measurement_21,0.0
C,GradientBoosting,sensor_measurement_20,0.00017994554325035856
